ReqID, Phase1-Running,Phase2-Runnable,Phase3-Waiting,Gap,Phase2-Running,6,7,8,9,10,11,12,13,14,15,16,17,18,19
59,6768,0,0,2300232,39560,2598,2572,841432,9118,0,0,564,2246,0,0,548,5712,0,0
60,10665,2617,0,2392666,22403,2921,4409,752492,6526,0,0,562,2204,0,0,553,3644,0,0
61,13003,0,0,2237442,21816,0,0,901858,10509,0,0,721,2342,0,0,522,3445,0,0
62,11981,0,0,2223750,12069,0,0,903634,15713,2376,4486,1031,2285,0,0,514,3533,0,0
63,11500,0,0,2330958,15427,0,0,797424,8652,0,0,599,2180,0,0,515,3563,0,0
64,11802,0,0,2312586,16261,0,0,805131,6292,0,0,590,2121,0,0,525,3886,0,0
65,11641,0,0,2364224,15406,0,0,736992,8560,0,0,862,3120,0,0,762,5553,0,0
66,15277,0,0,2299649,14538,0,0,783412,8833,0,0,874,3171,0,0,741,7511,0,0
67,6636,0,0,2216487,15477,0,0,864670,8396,0,0,919,3028,0,0,863,3042,0,0
68,7076,0,0,2171566,10991,0,0,891460,16220,0,0,744,2212,0,0,511,3070,0,0
69,6372,0,0,2203761,12951,0,0,819745,10807,7543,19484,899,2154,0,0,508,3311,0,0
70,9804,0,0,2116046,13600,0,0,809464,19026,10179,79705,1225,2539,0,0,520,6896,0,0
71,6683,0,0,2074591,19100,2525,708,925087,10343,0,0,730,2951,0,0,775,4895,0,0
72,6694,0,0,2109643,28158,3087,24418,837621,5993,0,0,554,2027,0,0,513,6308,0,0
73,23427,0,0,1957398,13688,0,0,988584,7511,0,0,592,2104,0,0,503,3637,0,0
74,6567,0,0,1994454,22658,0,0,923675,9053,0,0,895,2777,0,0,782,4669,0,0
75,10611,5868,0,1936661,18319,0,0,932929,14610,0,0,991,3152,0,0,767,4832,0,0
76,12127,5863,0,1977508,15689,0,0,840261,31130,0,0,612,2187,0,0,519,3551,0,0
77,6230,0,0,1886598,15359,0,0,916766,9664,0,0,804,3092,0,0,774,9315,0,0
78,12549,0,0,1929345,18165,0,0,810529,18377,0,0,851,2918,0,0,741,8940,2791,29
79,6351,0,0,1910477,14911,0,0,814793,8975,0,0,579,2223,0,0,542,3717,0,0
80,10734,0,0,2063278,17291,0,0,615519,8571,0,0,974,2274,0,0,501,3247,0,0
